Date,Close_sp500,Close_tbill,Close_msft
2001-11-23,1150.34,1.93,32.25
2001-11-26,1157.42,1.94,32.47
2001-11-27,1149.5,1.86,31.77
2001-11-28,1128.52,1.83,31.3
2001-11-29,1140.2,1.76,32.32
2001-11-30,1139.45,1.73,32.0
2001-12-03,1129.9,1.74,32.28
2001-12-04,1144.8,1.71,32.89
2001-12-05,1170.35,1.73,33.94
2001-12-06,1167.1,1.71,34.22
2001-12-07,1158.31,1.65,33.81
2001-12-10,1139.93,1.68,33.42
2001-12-11,1136.76,1.61,33.55
2001-12-12,1137.07,1.64,33.87
2001-12-13,1119.38,1.66,33.03
2001-12-14,1123.09,1.68,33.61
2001-12-17,1134.36,1.71,34.38
2001-12-18,1142.92,1.68,34.52
2001-12-19,1149.56,1.67,34.63
2001-12-20,1139.93,1.64,33.27
2001-12-21,1144.89,1.66,33.66
2001-12-24,1144.65,1.69,33.53
2001-12-26,1149.37,1.71,33.73
2001-12-27,1157.13,1.7,33.82
2001-12-28,1161.02,1.68,33.83
2001-12-31,1148.08,1.67,33.02
2002-01-02,1154.67,1.7,33.41
2002-01-03,1165.27,1.69,34.5
2002-01-04,1172.51,1.68,34.34
2002-01-07,1164.89,1.66,34.17
2002-01-08,1160.71,1.65,34.58
2002-01-09,1155.14,1.65,34.24
2002-01-10,1156.55,1.65,34.53
2002-01-11,1145.6,1.59,34.19
2002-01-14,1138.41,1.54,34.13
2002-01-15,1146.19,1.56,34.66
2002-01-16,1127.57,1.57,33.83
2002-01-17,1138.88,1.6,34.82
2002-01-18,1127.58,1.58,32.94
2002-01-22,1119.31,1.64,32.13
2002-01-23,1128.18,1.67,31.77
2002-01-24,1132.15,1.67,32.2
2002-01-25,1133.28,1.68,31.8
2002-01-28,1133.06,1.69,31.81
2002-01-29,1100.64,1.7,31.06
2002-01-30,1113.57,1.69,31.32
2002-01-31,1130.2,1.72,31.75
2002-02-01,1122.2,1.71,31.23
2002-02-04,1094.44,1.72,30.46
2002-02-05,1090.02,1.72,30.48
2002-02-06,1083.51,1.7,30.1
2002-02-07,1080.17,1.69,29.8
2002-02-08,1096.22,1.67,30.23
2002-02-11,1111.94,1.7,30.47
2002-02-12,1107.5,1.71,29.97
2002-02-13,1118.51,1.71,30.81
2002-02-14,1116.48,1.71,30.74
2002-02-15,1104.18,1.7,30.02
2002-02-19,1083.34,1.7,29.37
2002-02-20,1097.98,1.72,29.85
2002-02-21,1080.95,1.72,28.93
2002-02-22,1089.84,1.72,28.9
2002-02-25,1109.43,1.73,29.45
2002-02-26,1109.38,1.73,29.18
2002-02-27,1109.89,1.73,29.1
2002-02-28,1106.73,1.72,29.08
2002-03-01,1131.78,1.75,30.59
2002-03-04,1153.84,1.75,31.55
2002-03-05,1146.14,1.75,31.44
2002-03-06,1162.77,1.74,31.71
2002-03-07,1157.54,1.75,31.26
2002-03-08,1164.31,1.77,31.87
2002-03-11,1168.26,1.79,32.07
2002-03-12,1165.58,1.8,31.17
2002-03-13,1154.09,1.79,30.95
2002-03-14,1153.04,1.81,30.51
2002-03-15,1166.16,1.82,31.14
2002-03-18,1165.55,1.82,30.97
2002-03-19,1170.29,1.8,31.02
2002-03-20,1151.85,1.81,29.95
2002-03-21,1153.59,1.81,30.58
2002-03-22,1148.7,1.8,30.13
2002-03-25,1131.87,1.78,29.52
2002-03-26,1138.49,1.79,29.45
2002-03-27,1144.58,1.78,29.62
2002-03-28,1147.39,1.74,30.06
2002-04-01,1146.54,1.76,30.09
2002-04-02,1136.76,1.76,28.55
2002-04-03,1125.4,1.75,28.07
2002-04-04,1126.34,1.74,28.13
2002-04-05,1122.73,1.72,27.85
2002-04-08,1125.29,1.71,28.52
2002-04-09,1117.8,1.69,27.35
2002-04-10,1130.47,1.67,28.06
2002-04-11,1103.69,1.67,27.31
2002-04-12,1111.01,1.67,27.88
2002-04-15,1102.55,1.67,27.76
2002-04-16,1128.37,1.7,28.81
2002-04-17,1126.07,1.69,28.22
2002-04-18,1124.47,1.67,28.09
2002-04-19,1125.17,1.7,28.51
2002-04-22,1107.83,1.68,27.71
2002-04-23,1100.96,1.7,26.91
2002-04-24,1093.14,1.68,26.42
2002-04-25,1091.48,1.7,26.78
2002-04-26,1076.32,1.7,25.67
2002-04-29,1065.45,1.72,26.04
2002-04-30,1076.92,1.73,26.05
2002-05-01,1086.46,1.72,26.29
2002-05-02,1084.56,1.73,25.52
2002-05-03,1073.43,1.72,24.7
2002-05-06,1052.67,1.73,24.23
2002-05-07,1049.49,1.71,24.66
2002-05-08,1088.85,1.73,27.4
